id;mnemonic;name;description
1;YQIQAVOT1B;xPJg9dsaddlybzd TRmyzYjTLuXguF7eQHHtjIFN;p5Bol19Plo80xRk8xx0Jd8F1NJKuh9TeyCJBClFtUDGSC97vrduhUKryykzj
2;KGHI8NDCWQ;6qU3 VJYiiSalEmNBuONX9PdvJN5Q hdFAI GOrc;xoKpg8OJbKsUdwlAoBoAB4w2LobSKaYamN LTBe4k498ua9pUks2GKkN 
3;D8OX3XUUE7;QVYycMGVBeIPRS5By Q6zEeuhdUlMbr;SX9UHZ5AHEwMamJy1DFUOsqrywyWcTJq4AQlf8tODlyU7XYExPj0to3MO0Gk
4;PJHYAKGTRH;XVrgcaAaRMtXoBblkBgL3dEwWna0krHr 6uBXK6h;vYOKtxwyRm5NNRw1EL7aDaeXLTbpFTs9Nfyd1HYIP4IkUGPygD3gWppTlqwl
5;TZII1IRTLX;lUvRRGWc6FPmITRAIsiz5P0Rj7jmcBghavnP7cXh;o99tXYcdN5ysnYfIJYNiqyd0x9kzc53876AiMIyrwW rD3XnoSCDon5 wq7Y
6;ZJSS0K;9E9bEGF0;QF9KSOvXM5qFX65sFzID8sgkz9Iijakd
7;98AL7ZR5TL;dZVFnF2 cTgOkU6dw;pOMVL69Fx
8;0UM;5q7KX7kZmA1fXQH VIch0JXODNHL1XozsXRR3GGB;aReM8eRXwcA7jOgcLthkpL1CiSyNjhlCfaozVUKt
9;D8EPFTJ7WQ;NrwVZx4TZoJLOxd2vDfcHYuZVrwP0I9bx38X4kXs;TZxrr103G9 lxGwcjnRczv2KszRW9iDM4 RLJFAsr8gO
10;60SM45PPEX;6ndFh8D7Wo73LIGL1klgjzp9OA63lXmOn61mhGNb;UWGvsr3Lzkn70
