id;mnemonic;name;description;category;start_date;end_date;state;interest_rate;banking_entity_id
1;LW8DPYS4Z0;LU6 XNSdiewmd2j4kOwlM s2PTMoQb;Trace;PORTFOLIO;2019-07-16;2019-07-16;YES;99221;2
2;UK2DMZTVC4;q36Sqom0Eh3Hu07LeJw96uEiDXiv1j;Steel zero administration;PORTFOLIO;2019-07-16;2019-07-16;YES;4645;9
3;61ILQD2DI7;RRrAIFOtG1o3BrJbjJKSDKH9WrOBeT;South Dakota envisioneer Music;PORTFOLIO;2019-07-16;2019-07-16;NO;83319;1
4;WP5P6OOTSD;0OMlD0pSq oxe8U7IHLid PxF7sFYi;hardware Costa Rica Mayotte;CREDIT;2019-07-16;2019-07-16;NO;59789;8
5;6E5IR3ZV;atxAeJmA5buVffml3N;Louisiana Specialist Home Loan Account;CREDIT;2019-07-16;2019-07-16;NO;42340;8
6;CNKBBUMV9F;NTDLB;Unbranded Plastic Tuna Frozen;PORTFOLIO;2019-07-16;2019-07-16;YES;88721;6
7;9JFVUEHSZN;hVgeZSFOWfp KNyoTuJb0RKYD7gNUj;Sleek Metal Table Small;CREDIT;2019-07-16;2019-07-16;NO;69551;10
8;OGBRKFNSU4;LE4X7UCfa9XOZ6;Generic neutral Salad;PORTFOLIO;2019-07-16;2019-07-16;YES;89255;9
9;6M9ALVCMMJ;zDmPIirFfAN;withdrawal;PORTFOLIO;2019-07-16;2019-07-16;YES;53408;5
10;PI0IHFO5U9;hOztBDKm6HUMmgLt8bT62G6ndqGTkg;Mauritania;CREDIT;2019-07-16;2019-07-16;YES;60956;10
