id;mnemonic;name;description
1;MKRYELYQ3T;HCyx2UR\HXneoKu6JupsogSZbAcKOcKdB2qh0LP3;Q1AoBhlqgoxQYJmnqvXP9JFKR1eK\5O2B5kPW
2;UVGSISBLMS;Ql6VEyxE\jBSvVd8RPgQie30WtWdzOsQuHOeZJ24;1J\PM8SvG0YKHe0Ap6Le5txV
3;1BE5SGGE6S;Fjk4w9lY9s;sxuM9QkFtSIq4FEQYfonxlhPsPMCg8\F6yYAURY8P0l
4;YI3X713Z;AnDfTBlC37\fro\A1PyAH5CZ6F6Qe71XWQTIZIJc;O8x8vGcaRwVURJGcMaDvdb0rUgINbeyNwZU1yXdCilsECoJIXyKYQfem
5;MKANJ07M4Q;AMCTvr6J6N31zUd40Fs\wirk0h3ilpoWouahMikc;stAVgd\GXFaTBFNA0C91LhHZOR06gh5bgIOW2GcuieVpfcDjD6y6Gbu8QVB7
6;EXRCF19MIG;5v\SNjSmqH;vjUQ2bSmQLk7r0HxtFWpfx2Eu\
7;TEJITG1I5R;SmjXX;ExniPcg99CpHN4gptg3EtixT7H3zV7mGgT8hK6elBeQEnjRm8bGfxapK2AA6
8;Y4TXGUWR86;b2FTWjLzqbpGz9V8HhNsXPDqZ2B3N9nbXNt;jETXvcqnoaHKmZMLxn0LKIftB7KRrJ7WPlovJeHTdrds8h5rLdiVyJ\t8vel
9;6PO;D2GP418wd76jA8SzUlAaoXXsYdmcJ3TdJXNwvttI;1zTUFxa25kGF8LgrvtsDyoz8zKED98Pfpur16yr2jVjj6CsvX\mq0Yu
10;6NVWGEEO24;mfU7AmS59BD20XNmrPKzn4;AY5NLeBOmLRAKi6uAZ7ND2vWHwa6FcZ2YsDK2vwqVStPDUPizZ0o3Nrex1
