id;mnemonic;name;description;interest_rate;unique_value
1;JNK28VQIU7;aHVLOCB8vzppguUfHzcAuhwuooUT0m;Analyst paradigms;3305;27864
2;W9;Q\e\QuUB6Pm1choYa4rhiaiBKroA\a;Designer Persistent;67213;8085
3;EEVEGRW7WR;8HEVFIc9ztQREf0PBRmpOKiJOKQQVi;bypassing optical;15071;32078
4;ONA04KDOC2;\lb\jc78dr531f10qOBsPsWb1DFztO;deposit Sausages;69093;39757
5;UG1NX1C9SW;13WlLsth6HzsnFXSSMDfots01RKUup;Fiji Dollar Profound Bacon;98216;55520
6;Z13F22WXDH;BrJ456FlDmYuZK3lQ8hmAOLGoelzht;Human deposit;33902;27887
7;JVQWA9PUMH;QgyDHOp9QjftDTdCB7OzRaU0WcHLlS;Marketing;78534;89855
8;8NHHCW1QU1;iaDO5g;Latvia;69189;44842
9;QACA3B249A;J3aGf;Fish;36646;64963
10;ZHFF7TJU6Y;07IHXq8dRGXC\lxcgFBoZw7EQJGXrh;dedicated Persevering;97301;97889
