id;mnemonic;name;description;category;start_date;end_date;state;interest_rate;banking_entity_id
1;YA8376PLIK;1W6P9uZoLA;Trace;CREDIT;2019-08-15;2019-08-15;NO;99221;1
2;65BL8DIRW1;XSuqZGF2Gd;Namibia;PORTFOLIO;2019-08-15;2019-08-15;NO;38246;2
3;3HS62VZT6H;4rEE5kZqkm4YbbFrLsOkuxr9qzBTOx;South Dakota envisioneer Music;PORTFOLIO;2019-08-15;2019-08-14;YES;83319;3
4;R0N;3E5TDuXrMHkarDhIKwf;convergence;CREDIT;2019-08-15;2019-08-15;YES;92665;4
5;UFGIW0X47Q;RNiqwJQ9nfzth0aPo5J56p;compress South Georgia and the South Sandwich Islands;CREDIT;2019-08-15;2019-08-15;NO;16526;5
6;3JEN3UVXD6;N\XGIRkpJB4ujfYUUve1z\1E;Jewelery;PORTFOLIO;2019-08-14;2019-08-14;NO;91495;6
7;6GYOBCPVJT;5MeL7XboZPxc0hCUKuC8NiwImT3KEN;New York tangible Mississippi;CREDIT;2019-08-14;2019-08-14;YES;4043;7
8;IHJD4K95M6;cl0yXW\5I8gKhGWJQK23PxL8W0\y3O;Harbor Montana;PORTFOLIO;2019-08-14;2019-08-15;YES;59886;8
9;CY2Z05G4VS;FLAXNOTIsPfjkGjZ9FNcOFYOPlzioy;Squares mint green e-business;PORTFOLIO;2019-08-15;2019-08-14;NO;64769;9
10;UNO1JD96QJ;LEyvrUMJOWttpBNTUd44WTko1xse4J;Iraq Bedfordshire;PORTFOLIO;2019-08-15;2019-08-15;NO;6489;10
