id;name;description;value;document;document_content_type;debtor_identification;debtor_identification_type;debtor_country
1;siZhIeyUgKzUYjPBQTWiPnfXYnokqN;Home Loan Account Table Computer;5808;../fake-data/blob/hipster.png;image/png;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips
2;XDVFqGvvyrGiyGlhONIRqlGEAprkUQ;Albania web-readiness;29122;../fake-data/blob/hipster.png;image/png;Investment Account Steel;Coordinator;Common
3;iBgcora\\yNBnIClcmPMgGitQyQwtT;Refined Rubber Chicken Table;6505;../fake-data/blob/hipster.png;image/png;Factors;South Dakota envisioneer Music;Nakfa
4;sFBdudfMdLLkiYTqYGlL;Games Regional Digitized;66252;../fake-data/blob/hipster.png;image/png;hardware Costa Rica Mayotte;Industrial;connect Markets Chief
5;\zsrkogfDXPmDVTnLMdrKiSuKTrSWB;sky blue Tasty Plastic Pizza;38867;../fake-data/blob/hipster.png;image/png;interactive generating compelling;Home Loan Account;Plastic
6;tnRCIb\pOwjpttexXaYkwfXJ\T;orange Books;81546;../fake-data/blob/hipster.png;image/png;monitor;1080p Checking Account Identity;Frozen IB
7;fhYMLkTCgOrucctatvyhZNNbfoxcaJ;moratorium moratorium;72960;../fake-data/blob/hipster.png;image/png;withdrawal COM;embrace Developer;synthesize Idaho compress
8;QSXvZSfCdowRypCPZFNbWGQuoFqXgI;Intelligent Outdoors;63641;../fake-data/blob/hipster.png;image/png;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric
9;txpCnH\eC\WjHnKdiLXOfdaeTOBzOG;Salad Web virtual;63340;../fake-data/blob/hipster.png;image/png;RSS;mint green e-business EXE;back-end
10;iXlHmDirc;synergies copying;86073;../fake-data/blob/hipster.png;image/png;Games;Iraq Bedfordshire;Concrete 24/7 Directives
